pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
2,39,1,65,1,-1,5,10,22,22
1,43,1,49,1,-1,4,8,7,20
2,44,1,52,1,-1,13,1,51,1
1,43,1,31,2,-1,5,6,21,18
2,43,1,35,1,-1,8,4,34,16
1,32,1,36,1,-1,1,6,1,18
2,40,1,59,1,-1,13,1,51,2
2,39,1,48,1,-1,5,3,22,13
2,39,1,40,1,-1,4,5,17,17
1,39,1,57,1,-1,4,9,17,21
1,39,1,21,1,-1,4,9,17,21
1,44,1,50,1,-1,12,8,47,20
2,40,1,42,1,-1,12,8,47,20
1,39,1,40,1,-1,5,1,22,1
2,44,1,35,1,-1,10,2,40,8
1,40,1,37,1,-1,5,4,21,16
2,43,1,32,1,-1,5,5,21,17
2,40,2,60,4,30,10,2,41,10
2,40,2,65,1,-1,10,3,42,11
2,39,2,65,1,-1,10,10,40,22
2,39,2,32,1,-1,10,2,40,8
2,44,2,60,1,-1,10,2,40,8
2,44,10,61,1,-1,10,2,41,6
2,43,1,62,1,-1,5,1,21,2
2,39,1,28,1,-1,11,3,46,13
1,40,4,51,1,-1,4,2,10,4
1,43,2,35,4,12,7,2,26,9
2,39,2,65,1,-1,11,1,44,1
1,39,2,51,1,-1,9,3,38,14
2,43,1,41,1,-1,8,5,33,17
1,43,1,61,1,-1,9,3,38,14
2,43,1,60,1,-1,9,5,38,17
1,39,1,66,1,-1,5,4,22,16
1,43,1,40,1,-1,6,10,23,22
2,43,1,39,1,-1,10,2,41,10
2,45,1,46,1,-1,10,2,40,8
1,45,1,47,1,-1,10,2,40,8
1,43,1,35,1,-1,10,1,42,1
2,44,1,35,1,-1,10,2,42,10
2,40,2,64,1,-1,13,5,51,17
2,37,2,31,1,-1,4,6,14,18
2,43,2,51,2,-1,9,2,36,3
1,39,2,44,1,-1,5,10,21,22
2,43,3,36,1,-1,6,1,23,1
1,45,1,51,1,-1,8,2,33,7
2,43,1,51,1,-1,10,1,40,1
2,39,1,20,1,-1,5,4,22,16
1,38,1,18,1,-1,11,3,46,13
1,38,1,60,1,-1,4,9,11,21
2,43,1,60,1,-1,9,1,38,2
2,43,1,56,1,-1,9,2,36,3
1,40,1,59,1,-1,9,2,36,4
1,43,1,29,1,-1,5,1,22,1
1,40,6,56,1,-1,5,4,22,16
2,40,6,46,1,-1,1,1,1,2
1,36,1,55,1,-1,3,7,4,19
2,39,1,57,1,-1,3,7,4,19
2,39,1,34,1,-1,5,4,22,16
2,39,1,34,1,-1,5,4,22,16
1,40,2,71,1,-1,6,10,23,22
1,40,2,38,1,-1,9,5,38,17
1,39,1,60,1,-1,12,8,47,20
2,44,1,24,1,-1,9,3,36,12
2,39,2,59,2,-1,6,10,23,22
2,39,1,53,1,-1,10,3,43,15
1,39,1,56,1,-1,6,5,23,17
2,39,1,19,1,-1,11,5,46,17
2,46,1,56,1,-1,10,2,40,8
1,42,1,56,1,-1,9,2,36,3
2,46,1,54,1,-1,10,2,41,10
2,40,1,54,1,-1,10,3,40,15
2,46,1,43,1,-1,13,2,51,5
2,39,2,50,1,-1,10,2,40,8
1,42,2,53,1,-1,9,3,38,14
1,43,4,44,1,-1,9,2,36,3
1,44,1,37,1,-1,9,1,38,2
1,44,4,43,1,-1,9,1,36,1
2,44,4,43,1,-1,9,1,36,2
