peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
39,1,34,1,-1,9,2,36,9
42,1,22,1,-1,10,2,42,10
39,1,68,1,-1,3,1,4,1
39,1,23,1,-1,10,3,42,11
39,1,23,1,-1,5,4,22,16
39,4,39,1,-1,12,3,48,15
39,1,35,1,-1,9,3,38,11
40,2,58,1,-1,6,10,23,22
43,2,38,1,-1,10,2,40,8
43,1,80,2,-1,12,2,49,9
43,1,39,1,-1,10,2,41,10
43,1,41,1,-1,10,2,41,10
41,2,30,3,1,10,3,42,11
39,1,56,1,-1,9,5,36,17
44,1,57,1,-1,10,3,42,11
44,9,32,1,-1,10,2,42,10
43,1,33,1,-1,10,1,43,1
43,1,29,1,-1,4,1,17,2
44,1,32,1,-1,9,1,36,2
39,1,68,1,-1,3,7,4,19
44,1,32,1,-1,9,1,36,1
43,9,35,1,-1,8,1,33,1
43,1,76,1,-1,1,1,1,1
40,1,76,1,-1,5,1,22,1
39,1,28,1,-1,5,4,22,16
39,1,20,1,-1,4,9,14,21
43,1,70,1,-1,9,2,36,3
44,1,47,1,-1,13,2,51,8
44,1,76,1,-1,8,1,34,1
44,1,77,1,-1,8,1,34,1
41,1,55,1,-1,4,5,13,17
43,1,50,1,-1,10,5,40,17
43,1,23,1,-1,8,4,34,16
37,1,19,1,-1,11,3,46,13
36,1,16,4,8,11,3,46,13
40,2,58,2,-1,10,3,43,13
43,1,32,1,-1,10,2,43,8
44,1,31,1,-1,9,1,36,2
40,1,66,1,-1,9,1,38,1
46,1,55,1,-1,10,2,41,10
43,1,48,1,-1,4,2,7,4
39,1,48,2,-1,12,3,48,15
39,1,28,1,-1,3,7,4,19
43,1,46,1,-1,10,2,40,9
42,1,49,1,-1,10,2,40,3
39,1,60,1,-1,6,10,23,22
43,1,60,1,-1,10,1,41,1
39,1,31,1,-1,4,9,15,21
43,1,28,1,-1,10,5,42,17
44,1,61,1,-1,13,1,51,1
39,1,62,3,22,3,7,4,19
40,1,56,1,-1,3,5,4,17
43,1,64,1,-1,13,2,51,9
44,1,41,1,-1,10,2,40,8
39,1,41,1,-1,9,1,36,2
39,1,57,1,-1,9,4,36,16
39,1,68,1,-1,3,1,4,1
39,1,30,1,-1,3,7,4,19
44,2,36,1,-1,9,2,36,3
44,1,54,1,-1,13,3,51,12
44,1,41,1,-1,4,2,10,4
39,3,34,1,-1,6,10,23,22
44,1,44,1,-1,9,2,36,3
43,1,42,1,-1,9,2,36,9
44,1,38,1,-1,10,2,40,8
44,6,37,1,-1,9,1,36,2
43,1,29,1,-1,5,4,21,16
44,3,39,1,-1,10,2,40,8
39,1,41,1,-1,9,3,38,14
43,1,22,4,12,5,10,22,22
