pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1,gtcbsa
1,39,1,48,1,-1,9,3,38,14,39300
1,39,1,59,1,-1,6,9,24,21,14460
2,39,1,55,1,-1,10,5,41,17,14460
2,39,1,21,1,-1,10,2,40,8,14460
2,40,1,23,1,-1,11,3,46,13,14460
1,40,1,66,1,-1,8,1,34,1,14460
1,39,1,34,1,-1,3,8,4,20,14460
2,44,1,33,1,-1,10,1,43,1,14460
1,40,1,42,1,-1,8,1,32,2,14460
1,46,4,51,1,-1,3,1,4,1,14460
1,43,4,23,1,-1,9,2,36,3,14460
2,39,1,58,1,-1,12,3,48,15,14460
2,44,1,35,1,-1,8,2,32,3,0
2,39,1,73,1,-1,5,4,22,16,14460
1,39,1,68,1,-1,3,7,4,19,14460
1,39,1,32,4,16,5,8,22,20,14460
1,44,4,51,1,-1,4,2,19,3,14460
2,44,4,46,1,-1,8,2,34,3,14460
2,44,4,72,1,-1,12,1,49,1,14460
2,44,1,38,1,-1,7,2,31,8,49340
1,43,2,50,1,-1,5,4,21,16,14460
1,43,1,60,4,8,4,1,19,2,14460
2,44,1,61,1,-1,10,5,40,17,14460
1,44,1,68,1,-1,10,2,41,3,14460
1,44,1,61,1,-1,9,2,36,3,14460
1,40,1,31,4,22,5,4,22,16,14460
2,39,1,36,1,-1,10,2,42,10,14460
1,39,1,48,1,-1,11,8,46,20,14460
2,43,4,27,1,-1,10,2,41,10,14460
2,39,1,38,1,-1,3,5,4,17,14460
1,43,1,62,1,-1,11,3,46,13,14460
2,44,1,51,1,-1,10,2,41,6,14460
2,42,1,65,1,-1,8,1,32,1,14460
2,43,1,24,1,-1,12,2,49,3,14460
1,44,1,73,1,-1,11,2,44,9,14460
2,44,1,73,1,-1,11,2,44,9,14460
1,33,4,60,1,-1,11,3,46,13,14460
2,44,1,48,1,-1,10,5,41,17,49340
1,46,1,48,1,-1,9,2,36,7,49340
2,39,1,19,1,-1,10,3,43,15,49340
1,37,1,17,1,-1,11,3,44,12,49340
2,44,1,72,1,-1,9,10,36,22,49340
1,39,1,60,1,-1,4,2,19,5,49340
1,39,1,25,1,-1,12,3,48,15,49340
1,44,1,26,1,-1,4,2,19,5,49340
1,40,1,61,1,-1,2,10,3,22,49340
2,42,1,56,1,-1,10,3,40,11,49340
1,43,1,27,1,-1,10,2,40,8,49340
1,39,6,57,1,-1,6,9,23,21,49340
2,39,6,21,1,-1,4,9,13,21,49340
2,39,6,21,1,-1,4,9,19,21,49340
1,40,1,53,1,-1,4,1,19,1,49340
2,42,1,80,4,36,5,1,21,2,49340
2,43,1,66,1,-1,8,5,33,17,49340
2,39,2,69,1,-1,4,10,10,22,0
1,34,1,62,1,-1,3,7,4,19,0
1,33,1,43,1,-1,3,7,4,19,27140
1,43,1,42,1,-1,11,1,46,1,0
1,39,1,44,1,-1,3,7,4,19,32820
2,43,1,45,1,-1,13,2,51,8,32820
1,34,1,28,1,-1,4,9,7,21,0
1,39,2,30,1,-1,10,3,41,13,0
1,40,1,56,1,-1,8,8,35,20,0
2,39,1,64,1,-1,11,1,46,1,0
2,39,1,68,1,-1,5,4,22,16,0
2,42,2,33,1,-1,5,2,21,4,27140
2,39,1,40,1,-1,4,10,10,22,0
1,39,1,41,1,-1,4,9,10,21,0
2,43,1,31,1,-1,9,2,36,7,27140
2,39,2,29,1,-1,10,3,42,11,32820
2,39,1,64,1,-1,10,3,42,11,31700
1,36,4,30,1,-1,6,10,23,22,31700
2,40,4,33,1,-1,12,3,48,15,31700
1,39,4,62,1,-1,4,9,6,21,31700
1,43,1,63,1,-1,6,10,23,22,31700
2,40,1,62,1,-1,8,5,33,17,31700
1,39,1,61,1,-1,3,7,4,19,31700
1,39,1,54,1,-1,4,9,6,21,31700
2,40,1,69,1,-1,13,2,51,7,0
2,46,1,57,1,-1,10,2,42,10,14460
1,44,2,48,1,-1,10,2,40,8,14460
1,40,1,60,1,-1,5,10,22,22,14460
1,41,1,59,1,-1,5,4,22,16,14460
1,44,1,55,1,-1,8,2,32,3,35620
1,39,1,50,1,-1,6,10,23,22,37980
2,40,1,37,1,-1,5,4,22,16,37980
1,40,1,37,1,-1,3,1,4,1,37980
1,46,4,70,1,-1,13,2,51,4,37980
2,43,2,58,2,-1,9,2,38,8,37980
2,43,1,35,1,-1,8,1,33,1,37980
1,43,2,30,1,-1,7,4,27,16,37980
1,43,1,33,1,-1,7,1,25,1,37980
1,44,1,51,1,-1,9,1,36,2,37980
2,44,1,51,1,-1,13,2,51,3,37980
2,40,1,20,1,-1,10,2,40,8,37980
2,42,1,49,1,-1,10,3,41,11,37980
1,39,1,27,1,-1,6,10,23,22,37980
1,43,1,80,1,-1,10,3,40,12,0
1,45,1,73,1,-1,10,2,42,10,35620
2,43,1,42,1,-1,8,1,32,1,37980
1,39,1,46,1,-1,7,2,29,3,37980
2,43,1,62,1,-1,7,1,25,1,35620
1,44,1,57,1,-1,10,2,40,4,35620
2,39,1,33,1,-1,13,3,51,12,35620
2,44,2,40,1,-1,7,2,25,9,35620
2,43,1,57,1,-1,7,1,25,2,35620
1,43,1,54,1,-1,7,2,25,9,35620
2,38,1,35,4,1,9,3,38,14,35620
1,38,1,46,4,1,9,7,38,19,35620
2,46,1,49,1,-1,9,2,36,7,45940
1,46,1,52,1,-1,9,2,36,7,45940
1,44,4,27,4,48,-1,-1,-1,-1,35620
2,43,4,23,4,4,-1,-1,-1,-1,35620
1,44,4,26,4,17,-1,-1,-1,-1,35620
1,43,4,38,1,-1,9,2,36,3,35620
1,40,1,60,1,-1,8,1,34,1,35620
1,43,4,44,1,-1,8,1,32,1,35620
2,43,4,45,1,-1,9,1,36,2,35620
1,43,4,48,1,-1,6,2,23,3,35620
1,44,4,43,1,-1,9,1,36,1,35620
2,43,4,40,1,-1,4,2,13,3,35620
1,39,1,65,2,-1,3,7,4,19,35620
1,43,1,46,2,-1,11,2,44,9,35620
2,39,2,67,1,-1,10,3,42,11,35620
1,43,1,28,1,-1,5,4,22,16,35620
2,39,1,62,1,-1,6,10,23,22,35620
1,39,1,65,1,-1,13,8,51,20,35620
1,44,1,54,1,-1,9,2,36,3,35620
