peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
41,1,42,1,-1,6,8,23,20
40,2,59,1,-1,3,7,4,19
39,4,58,1,-1,12,3,48,15
40,4,25,1,-1,3,8,4,20
43,1,65,1,-1,4,2,10,4
46,1,52,1,-1,9,2,36,7
43,1,31,1,-1,10,1,43,1
44,1,30,1,-1,10,2,40,6
39,1,67,1,-1,10,5,41,17
39,1,65,1,-1,5,4,22,16
44,6,46,1,-1,10,5,41,17
46,6,46,1,-1,10,2,41,5
37,2,60,2,-1,10,3,40,13
46,8,50,4,117,10,2,40,5
44,8,63,1,-1,4,2,7,4
43,1,32,1,-1,9,1,36,1
43,1,34,1,-1,10,2,40,8
40,2,67,4,38,5,8,21,20
42,1,31,1,-1,10,2,43,6
42,1,69,1,-1,10,1,43,1
40,1,52,1,-1,4,1,19,1
40,1,36,1,-1,4,5,19,17
39,1,46,1,-1,3,10,4,22
42,1,56,2,-1,9,1,36,2
44,1,57,2,-1,10,2,40,8
40,1,40,1,-1,13,5,51,17
40,1,27,1,-1,11,3,46,13
42,2,42,1,-1,10,1,43,2
39,2,44,1,-1,4,9,10,21
42,1,42,1,-1,10,9,41,21
39,2,23,1,-1,11,3,46,13
39,1,39,1,-1,9,8,39,20
39,1,37,1,-1,5,4,22,16
39,2,30,1,-1,10,3,42,11
39,2,58,1,-1,4,9,14,21
37,1,31,1,-1,3,7,4,19
43,1,33,1,-1,5,4,22,16
43,1,35,1,-1,12,3,48,15
39,1,35,1,-1,6,8,24,20
41,1,28,1,-1,10,2,41,10
43,1,52,2,-1,10,2,40,8
44,1,59,1,-1,13,2,51,10
40,1,59,1,-1,5,4,22,16
39,1,57,1,-1,3,9,4,21
39,2,38,1,-1,3,1,4,1
44,1,38,1,-1,11,1,45,2
43,1,43,1,-1,10,1,43,1
43,1,42,1,-1,10,2,41,10
43,1,43,1,-1,10,2,41,10
39,1,40,1,-1,10,2,40,8
39,2,60,1,-1,10,3,40,14
39,2,41,1,-1,5,10,22,22
43,1,69,1,-1,10,2,41,10
43,1,71,1,-1,4,9,13,21
41,1,32,1,-1,5,8,21,20
43,1,53,1,-1,2,5,3,17
