pesex,peeduca,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
1,43,23,1,-1,4,2,10,4
2,43,24,1,-1,3,2,4,4
1,44,51,1,-1,4,2,10,3
2,39,52,1,-1,10,5,40,17
1,43,22,1,-1,10,1,40,1
1,39,20,1,-1,3,7,4,19
1,45,49,1,-1,3,7,4,19
1,39,66,1,-1,5,4,22,16
2,40,63,1,-1,8,5,33,17
2,43,46,1,-1,10,2,41,10
1,39,41,1,-1,3,7,4,19
2,39,41,1,-1,13,5,51,17
1,40,51,1,-1,6,10,23,22
1,45,62,1,-1,9,2,36,7
2,43,60,1,-1,8,4,34,16
1,44,54,1,-1,8,3,32,12
2,46,72,1,-1,10,2,40,8
1,40,65,1,-1,8,8,34,20
2,39,44,4,6,5,4,22,16
2,44,70,1,-1,13,2,51,6
1,43,26,1,-1,11,3,44,15
2,41,22,1,-1,12,3,48,15
1,42,61,1,-1,3,8,4,20
1,45,72,1,-1,9,2,36,7
2,45,71,1,-1,9,2,36,7
2,44,66,1,-1,9,3,38,14
2,39,47,1,-1,9,3,38,14
1,33,46,1,-1,9,3,38,14
1,45,46,1,-1,13,2,51,7
1,45,48,1,-1,13,1,51,2
2,44,50,2,-1,13,5,51,17
2,43,24,1,-1,10,2,40,8
2,44,30,1,-1,10,2,40,8
1,44,30,1,-1,10,2,40,8
1,44,29,1,-1,10,2,42,3
1,43,35,1,-1,3,2,4,9
2,44,42,1,-1,10,2,42,3
1,33,33,1,-1,3,7,4,19
2,39,35,1,-1,6,1,23,1
1,39,20,1,-1,6,10,23,22
2,37,18,1,-1,5,5,22,17
2,43,25,1,-1,10,2,40,8
1,39,59,1,-1,6,5,23,17
2,39,61,1,-1,13,2,51,9
1,46,76,1,-1,12,2,49,8
2,44,35,1,-1,3,1,4,1
1,39,36,1,-1,5,4,21,16
